year,granteename,fips,countyOriginal,county,contexts,settings,ct
2024,Healthy Northland,,Aitkin County,Aitkin,MN Breathes,Schools,1
2024,Healthy Northland,,Aitkin County,Aitkin,"MN Breathes, MN Eats, MN Well-being",Schools,1
2024,Healthy Northland,,Aitkin County,Aitkin,"MN Breathes, MN Eats, MN Well-being",Schools,1
2024,Healthy Northland,,Aitkin County,Aitkin,"MN Breathes, MN Moves",Community,1
2024,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2024,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2024,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2024,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2024,Healthy Northland,,Aitkin County,Aitkin,"MN Breathes, MN Eats",Health Care,1
2024,Healthy Northland,,Aitkin County,Aitkin,MN Breathes,Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN CFT, MN Moves, MN Well-being",Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN CFT, MN Eats, MN Well-being",Schools,1
2023,Healthy Northland,,Aitkin County,Aitkin,MN Eats,"Community, Health Care",1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN CFT, MN Eats, MN Well-being",Schools,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN CFT, MN Eats, MN Well-being",Schools,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN Eats, MN Well-being",Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN Eats, MN Well-being",Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN Moves, MN Well-being",Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,MN Eats,Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN CFT, MN Eats",Community,1
2023,Healthy Northland,,Aitkin County,Aitkin,"MN Eats, MN Moves, MN Well-being","Community, Health Care",1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Workplace,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Workplace,1
2024,Anoka County,,Anoka County,Anoka,"MN Eats, MN Moves","Community, Workplace",1
2024,Anoka County,,Anoka County,Anoka,MN Breathes,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Breathes,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,"MN Eats, MN Moves, MN Well-being",Community,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Health Care,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Schools,1
2024,Anoka County,,Anoka County,Anoka,"MN Eats, MN Moves",Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,"MN Moves, MN Well-being",Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Child Care,1
2024,Anoka County,,Anoka County,Anoka,"MN Eats, MN Moves",Child Care,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Health Care,1
2024,Anoka County,,Anoka County,Anoka,"MN Eats, MN Well-being",Health Care,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Health Care,1
2024,Anoka County,,Anoka County,Anoka,MN Eats,Workplace,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Health Care,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Health Care,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Health Care,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Moves,Community,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Schools,1
2024,Anoka County,,Anoka County,Anoka,MN Well-being,Schools,1
